id;pasta;volume;imagem;ncb2;url_pagina;Categoria-1;Categoria-2;Categoria-3;ncb;purl;capa;tipo de material;língua;língua da obra original;título;subtítulo;título original;edição;publicação;data da publicação;data da publicação2;dimensões;autor;autor - organização;co-autores;autores secundários;co-autores - organizações;autores secundários - organizações;cota;coleção;id persistente;acesso
7770;321919;1;40;321919140;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=40&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos IV | 1753;Episódios - Camões na gruta de Macau | 1760;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7771;321919;1;41;321919141;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=41&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos V | 1754;Episódios - Visita do Rei de Melinde a Gama | 1761;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7772;321919;1;52;321919152;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=52&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos VI | 1755;"Episódios - Concílio ""Conselho dos Deuses"" | 1762";321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7773;321919;1;58;321919158;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=58&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos VII | 1756;Episódios - Sonho d'El-Rei D. Manuel, no qual lhe aparecem os rios Indo e Ganges | 1763;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7774;321919;1;92;321919192;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=92&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos VIII | 1757;Episódios - Assassínio de Inês de Castro | 1764;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7775;321919;1;115;3219191115;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=115&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos IX | 1758;Episódios - Aparição do gigante Adamastor na passagem do Cabo de B. Esperança | 1765;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7776;321919;1;139;3219191139;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=139&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos X | 1759;Episódios - Vénus aplaca os Ventos e a tormenta | 1766;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7777;321919;1;155;3219191155;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=155&viewer=picture&o=info&n=0&q=;Imagens | 1747;Episódios | 1749;Episódios - Desembarque de Gama em Calecut | 1767;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7778;322212;1;7;32221217;https://permalinkbnd.bnportugal.gov.pt/viewer/277738/?offset=#page=7&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos I | 1750;Episódios - Segunda Audiência do Samorim a Gama | 1768;322212;https://purl.pt/44395;https://bndigital.bnportugal.gov.pt//i/?IIIF=/18/73/81/bc/187381bc-a42f-4c0a-bc9b-c0a94f8c8b89/iiif/cam-311-p_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Inglês;;CXXIV Sonnets;;;1.ª ed.;"London : John Lane ; Boston : Copeland & Day";1896;1896;147, 1 p.;;;;Garnett, Richard, 1835-1906, Tradutor;;;CAM. 311 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/322212;Livre
7779;322214;1;10;322214110;https://permalinkbnd.bnportugal.gov.pt/viewer/273912/?offset=#page=10&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos II | 1751;Episódios - Ilha de Vénus | 1769;322214;https://purl.pt/44114;https://bndigital.bnportugal.gov.pt//i/?IIIF=/5b/e8/93/e6/5be893e6-c289-4b66-841b-878b12434034/iiif/cam-312-p_0000_000010.tif/full/!300,500/0/default.jpg;Livro impresso;Alemão;;Magazin der Spanischen und portugiesischen litteratur;;;1.ª ed.;Weimar : In der Hoffmannischen Buchhandlung;1780;1780;4, 412 p.;;;;"Bertuch, Friederich  Justin, 1748-1822, Editor literário ; Geyser, Ilustrador";;;CAM. 312 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/322214;Livre
