id;Categoria-1;Categoria-2;Categoria-3;Categoria-4;Categoria-5;Categoria-6;Categoria-7;Categoria-8;Categoria-9;Categoria-10;Categoria-11;Categoria-12;Categoria-13;Categoria-14;Categoria-15;Categoria-16;Categoria-17;Categoria-18;Categoria-19;Categoria-20;Categoria-21;Categoria-22;Categoria-23;Categoria-24;Categoria-25;Categoria-26;Categoria-27;Categoria-28;Categoria-29;Categoria-30;Categoria-31;Categoria-32;Categoria-33;Categoria-34;Categoria-35;Categoria-36;Nota Língua;ncb;purl;capa;tipo de material;língua;língua da obra original;título;subtítulo;título original;edição;publicação;data da publicação;data da publicação2;dimensões;autor;autor - organização;co-autores;autores secundários;co-autores - organizações;autores secundários - organizações;cota;coleção;id persistente;acesso
6207;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos vida | 153;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;855880;https://purl.pt/44031;https://bndigital.bnportugal.gov.pt//i/?IIIF=/3f/71/33/5e/3f71335e-2a89-4cc9-a04c-557354ebf5cd/iiif/cam-221-8-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Provisão relativa ao quarto centenario do descobrimento do caminho maritimo para a India;;;1.ª ed.;Coimbra : Imprensa da Universidade;1898;1898;12 p.;;Bragança e Miranda. Bispo, 1885-1912 (José Alves de Mariz);;;;;R. 10273//1 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/855880;Livre
6208;Bibliografias e catálogos - Catálogo | 551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164561;https://purl.pt/44216;https://bndigital.bnportugal.gov.pt//i/?IIIF=/74/28/8f/ef/74288fef-4a9f-4ee9-a63b-fd7176a91a0d/iiif/cam-222-6-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Torquato Tasso a Luiz de Camões;;;1.ª ed.;Leorne : Typ. de Raphael Giusti;1898;1898;14, 1 p.;António de Portugal de Faria, 1868-1937;;;;;;CAM. 222//6 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/164561;Livre
6209;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Retrato de Camões | 372;Iconografia - Impressos - Ilustrações da obra | 376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157627;https://purl.pt/44322;https://bndigital.bnportugal.gov.pt//i/?IIIF=/86/46/8f/22/86468f22-78d0-401b-b7bb-a055caf13a3e/iiif/cam-222-9-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O marinheiro portuguez atravez da historia;Conferencia na Academia de Estudos Livres em 12 de Abril de 1898;;1.ª ed.;Lisboa : Academia de Estudos Livres;1898;1898;21, 2 p.;Vicente de Almeida de Eça, 1852-1929;;;Ernesto Jardim de Vilhena, 1876-1967, Antigo possuidor;;Academia de Estudos Livres, Organizador de conferência;H.G. 8206//3 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/157627;Livre
6210;Música - Impressos | 405;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Português e italiano? [compositor italiano];860111;https://purl.pt/44354;https://bndigital.bnportugal.gov.pt//i/?IIIF=/d3/05/2c/6e/d3052c6e-7b7e-4abc-957e-d7c39f1b185f/iiif/cam-272-v_0005.tif/full/!300,500/0/default.jpg;Livro impresso;"Português ; Espanhol ; Italiano ; Francês ; Alemão ; Inglês";;De Portugal à Índia;"trechos que mais se prendem com o assumpto, tirados do poema de Luiz de Camões ""Os Lusiadas"" acompanhados de versões em espanhol, italiano, francez, alemão e inglez";;1.ª ed.;Lisboa : Typ. Castro Irmão;1898;1898;493 p.;;;;Ernesto Moreira de Sá, 1841-1915, Compilador;;;H.G. 8627 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/860111;Livre
6211;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos gerais | 230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330312;https://purl.pt/44517;https://bndigital.bnportugal.gov.pt//i/?IIIF=/3e/d9/ab/66/3ed9ab66-ea4b-44e8-b6b8-69f3f081a2b7/iiif/cam-420-1-p_0001.tif/full/!300,500/0/default.jpg;Periódico;Português;;Centenário da India;;;1.ª ed.;Padova : Stamp. di Fratelli Gallina;1898;1898;;;;;;;;L. 43138//2 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/330312;Livre
6212;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;473530;https://purl.pt/44562;https://bndigital.bnportugal.gov.pt//i/?IIIF=/4a/8e/05/57/4a8e0557-ae81-4dc8-baee-877478757969/iiif/cam-464-p_0013.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Homenagem a Vasco da Gama e programma das festas do centenario;tributo litterario da Bibliotheca de Romances Notaveis;;1.ª ed.;Lisboa : Typ. do Commercio de Portugal;1898;1898;28, 2 p.;Xavier da Cunha, 1840-1920;;;;;;CAM. 464 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/473530;Livre
6213;Celebrações - 1880 - Actos públicos | 477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;810044;https://purl.pt/44139;https://bndigital.bnportugal.gov.pt//i/?IIIF=/6b/7a/c9/47/6b7ac947-55a9-4acc-bbcd-d5f2fa65add1/iiif/cam-82-2-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;"Português ; Francês ; Espanhol";Português;Lyricas;;;1.ª ed.;Lisboa : Impr. Nacional;1898;1898;131, 2 p.;Luís de Camões, 1524-1580;;;"Ernesto Jardim de Vilhena, 1876-1967, Antigo possuidor ; Joseph Benoliel, 1873-1932, Tradutor ; Xavier da Cunha, 1840-1920, Autor da introdução, etc.";;;CAM. 82//2 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/810044;Livre
6214;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Vida | 104;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Argumentos | 105;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Notas | 106;Obra - Impressos - Estrofes rejeitadas d’Os Lusíadas | 86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;397710;https://purl.pt/44022;https://bndigital.bnportugal.gov.pt//i/?IIIF=/81/d5/63/8a/81d5638a-45be-42ab-8801-174a208a9449/iiif/cam-83-2-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Vasco da Gama;Poemeto ...;;1.ª ed.;Lisboa : Imprensa Nacional, Comissão Executiva do Centenário da India;1898;1898;42 p.;Joseph Benoliel, 1873-1932;;;Xavier da Cunha, 1840-1920, Autor da introdução, etc.;;;CAM. 83//2 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/397710;Livre
6215;Obra - Impressos - Composições soltas e fragmentos - Épica - Estrofes | 66;Obra - Impressos - Paratextos - Obras (avulsas) - Outros | 119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Italiano e Português;412780;https://purl.pt/44140;https://bndigital.bnportugal.gov.pt//i/?IIIF=/6f/05/b0/6e/6f05b06e-0073-46cf-96b8-08d4f4ad4869/iiif/cam-84-1-a_0000_000001.tif/full/!300,500/0/default.jpg;Periódico;"Português ; Chinês";;Jornal unico;celebração do 4º centenario do descobrimento do caminho maritimo para a India por Vasco da Gama;;1.ª ed.;Macau : impresso nas typographias de N. T. Fernandes e Filhos e Noronha & Ca.;1898;1898;55, 4 p.;;;;;;;CAM. 84//1 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/412780;Livre
6216;Tradução - Impressos - Composições soltas e fragmentos - Épica | 229;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;798858;https://purl.pt/44832;https://bndigital.bnportugal.gov.pt//i/?IIIF=/4f/ab/74/d6/4fab74d6-c668-4e70-ba83-768d192f5ab7/iiif/cam-960-p_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;poema epico;;Nova ed. cuidadosamente revista e conforme às de 1572, precedida duma biografia do poeta;Lisboa : Antonio Maria Pereira;1898;1898;XVIII, 457 p.;Luís de Camões, 1524-1580;;;Inocêncio Francisco da Silva, 1810-1876, Autor da introdução, etc.;;;CAM. 960 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/798858;Livre
6217;Tradução - Impressos - Antologia - Lírica | 208;Tradução - Impressos - Antologia - Lírica - Paratextos gerais | 209;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos notas | 233;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;412796;https://purl.pt/43902;https://bndigital.bnportugal.gov.pt//i/?IIIF=/24/6e/4d/a9/246e4da9-9a39-43ca-ae6a-6ddd1f114644/iiif/cam-75-a_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;Alemão;Vida e obras de Luís de Camões;primeira parte;;1.ª ed.;Lisboa : Academia Real das Ciências;1898;1898;744, 5 p.;Wilhelm Storck, 1829-1905;;;Carolina Michaëlis de Vasconcelos, 1851-1925, Tradutor;;;H.G. 5643 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/412796;Livre
6218;Tradução - Impressos - Antologia - Lírica | 208;Tradução - Impressos - Antologia - Lírica - Paratextos gerais | 209;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Tradução - Impressos - Composições soltas e fragmentos - Épica | 229;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos notas | 233;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251617;https://purl.pt/44824;https://bndigital.bnportugal.gov.pt//i/?IIIF=/3d/9d/64/c4/3d9d64c4-21f8-441a-9ded-a1ba7c12e628/iiif/cam-840-p_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O soneto de Torquato Tasso a Camões e Vasco da Gama;carta a António de Portugal de Faria;;1.ª ed.;Genova : Tip. R. Istituto Sordo-Muti;1898;1898;12 p.;Joaquim de Araújo, 1858-1917;;;;;;CAM. 419//2 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/251617;Livre
6219;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Estrofes rejeitadas d’Os Lusíadas | 86;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Retrato de Camões | 372;Iconografia - Impressos - Ilustrações da obra | 376;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Vida | 104;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Argumentos | 105;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Notas | 106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;397880;https://purl.pt/44834;https://bndigital.bnportugal.gov.pt//i/?IIIF=/31/2a/e9/4d/312ae94d-db1a-4a8e-8f2c-544e688d768c/iiif/cam-938-p_0003.tif/full/!300,500/0/default.jpg;Livro impresso;Arménio;Português;Tres estrophes;;;1.ª ed.;Veneza : Typographia da Ilha de S. Lazaro;1898;1898;8 p.;Luís de Camões, 1524-1580;;;"Joaquim de Araújo, 1858-1917, Autor da introdução, etc. ; Arsenio Ghazik, Tradutor";;;CAM. 398//2 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/397880;Livre
6220;Tradução - Impressos - Antologia - Lírica | 208;Tradução - Impressos - Antologia - Lírica - Paratextos gerais | 209;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Tradução - Impressos - Composições soltas e fragmentos - Épica | 229;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos notas | 233;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;411542;https://purl.pt/43786;https://bndigital.bnportugal.gov.pt//i/?IIIF=/b5/4f/7e/1e/b54f7e1e-307d-47a6-9282-e41a7c32124d/iiif/cam-221-3-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O Centenario no Estrangeiro;conferencia realisada na Sociedade de Geographia de Lisboa no dia 11 de Novembro de 1897;;1.ª ed.;Lisboa : A Liberal;1897;1897;30, 2 p.;Magalhães Lima, 1850-1928;;;Ernesto Jardim de Vilhena, 1876-1967, Antigo possuidor;;;H.G. 5865//1 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/411542;Livre
6221;Tradução - Impressos - Composições soltas e fragmentos - Lírica - Paratextos gerais | 235;Recepção criativa - Centão [Cintra] | 408;Figuras Femininas - Autoras (produção escrita sobre Camões) | 552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;766296;https://purl.pt/43829;https://bndigital.bnportugal.gov.pt//i/?IIIF=/17/a4/64/2b/17a4642b-b78f-4df5-a59e-e4722addb1cc/iiif/cam-222-1-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Vasco da Gama e o descobrimento do caminho marítimo da Índia;breve notícia histórica;;1.ª ed.;Nova Goa : Imp. Nacional;1897;1897;2, 58 p.;José António Ismael Gracias, 1857-1919;;;Ernesto Jardim de Vilhena, 1876-1967, Antigo possuidor;;;H.G. 35686 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/766296;Livre
6222;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;770300;https://purl.pt/43806;https://bndigital.bnportugal.gov.pt//i/?IIIF=/3a/b7/7c/ca/3ab77cca-29e0-4fcf-9949-7d0349aa2f94/iiif/cam-650-p_0000_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Lyra de Camoens;versos camoneanos;;1.ª ed.;Porto : Of. de Cunha & C;1897;1897;61 p.;Oliveira Passos, 1867-1941;;;;;;CAM. 650 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/770300;Livre
6223;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos vida | 153;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;Iconografia - Impressos - Imagens de Camões | 373;Iconografia - Impressos - Ilustrações da obra | 376;Iconografia - Impressos - Mapas - Rota de Gama | 388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800879;https://purl.pt/43995;https://bndigital.bnportugal.gov.pt//i/?IIIF=/2e/43/05/ec/2e4305ec-ea84-43c7-ab8f-7b250a3f6f2f/iiif/cam-1064-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Luis de Camões;poemeto;;4ª ed. emendada;Hayward (California) : J. de Menezes;1897;1897;62 p.;Joaquim de Araújo, 1858-1917;;Eça de Queirós, 1845-1900;;;;L. 19273//2 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/800879;Livre
6224;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos vida | 153;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;852113;https://purl.pt/44599;https://bndigital.bnportugal.gov.pt//i/?IIIF=/63/df/c6/4a/63dfc64a-1142-495c-bf91-68643a2c0de1/iiif/cam-153-8-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Segunda comemoração da apoteose de João de Deus em 8 de Março de 1895;;;1.ª ed.;Padova : Tip. all'Universita, Fratelli Galina;1897;1897;7 p.;Joaquim de Araújo, 1858-1917;;;;;;CAM. 153//8 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/852113;Livre
6225;Vida - Biografia | 13;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197848;https://purl.pt/44212;https://bndigital.bnportugal.gov.pt//i/?IIIF=/56/30/0a/d0/56300ad0-6577-4120-8f07-dabb9ba672a0/iiif/cam-163-v_0000_000007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Catalogo da Camoneana da bibliotheca Publica Municipal do Porto;;;2ª ed;Porto : Imprensa Civilisação;1897;1897;212 p.;José Pedro de Lima Calheiros, ca 18--;;;;;;B. 7710 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/197848;Livre
6226;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos gerais | 230;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos notas | 233;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196549;https://purl.pt/45083;https://bndigital.bnportugal.gov.pt//i/?IIIF=/9f/e7/13/a7/9fe713a7-057b-40eb-881e-d656fc562d57/iiif/cam-1703-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Italiano;;Luigi Camoens;stanze;;1.ª ed.;Padova : Tip. Fratelli Gallina;1897;1897;7, 1 p.;Giannina Milli, 1825-1888;;;Joaquim de Araújo, 1858-1917, Editor literário;;;CAM. 859 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/196549;Livre
6227;Tradução - Impressos - Antologia - Lírica | 208;Tradução - Impressos - Antologia - Lírica - Paratextos gerais | 209;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Tradução - Impressos - Composições soltas e fragmentos - Épica | 229;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos notas | 233;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;854974;https://purl.pt/44213;https://bndigital.bnportugal.gov.pt//i/?IIIF=/8d/cc/31/83/8dcc3183-d700-4fdc-82df-6b4c780d2d39/iiif/cam-217-2-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Francês;;Célébration nationale en 1898 du quatriéme centenaire de la découverte du chemin maritime des Indes;programme générale dressé suivant larrêté ministériel du 2 Avril 1897 et approuvé par le Gouvernement Portugais;;1.ª ed.;Lisbonne : Imprimerie Nationale;1897;1897;12 p.;;Portugal. Comissão Central Executiva do 4.º Centenário do Descobrimento da Índia;;Ernesto Jardim de Vilhena, 1876-1967, Antigo possuidor;;;CAM. 217//2 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/854974;Livre
6228;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos vida | 153;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;Iconografia - Impressos - Imagens de Camões | 373;Iconografia - Impressos - Ilustrações da obra | 376;;Iconografia - Impressos - Mapas - Rota de Gama | 388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;862113;https://purl.pt/44370;https://bndigital.bnportugal.gov.pt//i/?IIIF=/c8/f8/ef/a7/c8f8efa7-a7c6-4e09-a24d-8fc8a34a74bd/iiif/cam-283-10-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;A Igreja de SantAnna e a sepultura de Camões;;;1.ª ed.;Lisboa : Impr. Nacional;1897;1897;28 p.;Luciano Cordeiro, 1844-1900;;;;;;CAM. 283//10 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/862113;Livre
6229;Tradução - Impressos - Composições soltas e fragmentos - Épica | 229;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Iconografia - Impressos - Ilustrações da obra | 376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;865344;https://purl.pt/44367;https://bndigital.bnportugal.gov.pt//i/?IIIF=/c3/04/ab/22/c304ab22-c74b-4b7c-b4cf-23c2609659bb/iiif/cam-286-9-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;"Português ; Francês";Português;O Adamastor;;;1.ª ed.;Lisboa : Typographia Casa Portugueza;1897;1897;19 p.;;;;;;;L. 167774 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/865344;Livre
6230;Bibliografia crítica - Tradução | 413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330207;https://purl.pt/44524;https://bndigital.bnportugal.gov.pt//i/?IIIF=/07/00/c7/0f/0700c70f-5f87-419e-b2b5-6a2c5dd1381a/iiif/cam-406-2-p_0002.tif/full/!300,500/0/default.jpg;Livro impresso;Alemão;;Observações sobre a allegoria nos Lusiadas de Camões;Zur dreihundertjährigen Gedächtnissfeier das Dichteres der Lusiaden...;;1.ª ed.;Aschaffenburg : Wailandt'sche Druckerei Actien-Gesellschaft,;1897;1897;15 p.;F. J. Schmitz;;;;;;CAM. 406//2 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/330207;Livre
6231;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos gerais | 230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;262235;https://purl.pt/44528;https://bndigital.bnportugal.gov.pt//i/?IIIF=/9e/3a/25/33/9e3a2533-19b4-4d5a-acdb-45a0607b2f9e/iiif/cam-408-p_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Discurso proferido pelo Presidente da Directoria do Gabinete Portuguez de Leitura no Rio de Janeiro na sessão de posse do conselho deliberativo em 18 de Junho de 1879;;;1.ª ed.;Rio de Janeiro : Gab. Port. Leitura;1897;1897;;Eduardo Rodrigues Cardoso de Lemos;;;;;;CAM. 154//2 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/262235;Livre
6232;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos vida | 153;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;Iconografia - Impressos - Ilustrações da obra | 376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;367315;https://purl.pt/44551;https://bndigital.bnportugal.gov.pt//i/?IIIF=/07/17/53/2d/0717532d-ef3c-4a93-97b1-900767009be5/iiif/cam-451-p_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Centenario indiano;Marinha histórica do seculo XV e XVI;;1.ª ed.;"Lisboa : Emp. jornal ""O Seculo""";1897;1897;il. color.;Joaquim de Melo, fl. c. 1897?;;;;;;B.A. 2363//7 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/367315;Livre
6233;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Estrofes rejeitadas d’Os Lusíadas | 86;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Obra - Impressos - Estrofes rejeitadas d’Os Lusíadas | 86;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Vida | 104;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Argumentos | 105;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Notas | 106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;452510;https://purl.pt/25641;https://bndigital.bnportugal.gov.pt//i/?IIIF=/0f/25/74/72/0f257472-2793-4b33-8088-093f6546f87e/iiif/452510_0000_capa-capa_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;"As traduções italianas dos ""Lusiadas""";;;1.ª ed.;Livorno : Tip. Raffaello Giusti;1897;1897;7 p.;Joaquim de Araújo, 1858-1917;;;;;;CAM. 349//8 V.;;http://id.bnportugal.gov.pt/bib/catbnp/452510;Livre
6234;Iconografia - Impressos - Imagens de Camões | 373;Celebrações - 1880 - Iconografia | 478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;782743;https://purl.pt/44788;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7c/1b/79/de/7c1b79de-0fd7-4ae3-82cb-4284eafb6a13/iiif/cam-708-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;poema épico;;Nova ed;Porto : Lelo & Irmão;1897;1897;XII, 471 p.;Luís de Camões, 1524-1580;;;;;;CAM. 708 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/782743;Livre
6235;Tradução - Impressos - Antologia - Lírica - Paratextos vida | 210;Tradução - Impressos - Antologia - Lírica - Paratextos notas | 212;Obra - Impressos - Composições soltas e fragmentos - Épica - Estrofes | 66;Tradução - Impressos - Composições soltas e fragmentos - Épica - Paratextos gerais | 230;Iconografia - Impressos - Retrato de Camões | 372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;788849;https://purl.pt/25651;https://bndigital.bnportugal.gov.pt//i/?IIIF=/4b/de/25/3e/4bde253e-5b4a-427f-b069-f239edfc8010/iiif/cam-839-p_0000_capa-capa_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Ignês de Castro;;;1.ª ed.;Florença : Impr. de Salvador Landi;1897;1897;15 p.;Joaquim de Araújo, 1858-1917;;Adolfo de Castro, 1823-1898, Autor;Rodrigo Veloso, 1839-1913, Antigo possuidor;;;CAM. 839 P.;;http://id.bnportugal.gov.pt/bib/catbnp/788849;Livre
6236;Bibliografia crítica - Polémica e discussão | 417;Obra - Impressos - Paratextos - Obras (avulsas) - Outros | 119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742179;https://purl.pt/25640;https://bndigital.bnportugal.gov.pt//i/?IIIF=/30/66/2c/60/30662c60-8d90-4a3b-b24c-a59f48c85b30/iiif/742179_0000_capa-capa_t24-C-R0150_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;As traduções italianas dos Lusíadas;;;1.ª ed.;Génova : s.n.;1897;1897;1v.;Joaquim de Araújo, 1858-1917;;;;;;CAM. 115//3 A.;;http://id.bnportugal.gov.pt/bib/catbnp/742179;Livre
6237;Bibliografia crítica - Polémica e discussão | 417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;389121;https://purl.pt/42065;https://bndigital.bnportugal.gov.pt//i/?IIIF=/8e/d1/46/f3/8ed146f3-e26d-4087-88e7-d71443c542c1/iiif/cam-203-v_0000_000007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;No Oriente;diário de viagem;;1.ª ed.;Lisboa : Impr. Nacional;1896;1896;2 v.;Adolfo Ferreira de Loureiro, 1836-1911;;;;;;F.A. 2219;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/389121;Livre
